Curs;Estudis;Codi àrea territorial;Àrea territorial;Naturalesa;Titularitat;Matrícula concertada (S/N);Sexe;NESE agrupació;NESE descripció;Alumnes matriculats
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0125;LLEIDA;PRIVAT;PRIVAT;SI;DONA;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT INTEL·LECTUAL LLEUGERA;25
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0125;LLEIDA;PRIVAT;PRIVAT;SI;DONA;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT INTEL·LECTUAL MODERADA;1
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0125;LLEIDA;PRIVAT;PRIVAT;SI;DONA;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT MOTRIU AUTÒNOM;1
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0125;LLEIDA;PRIVAT;PRIVAT;SI;DONA;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT MOTRIU DEPENENT;1
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0125;LLEIDA;PRIVAT;PRIVAT;SI;DONA;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT VISUAL;1
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0125;LLEIDA;PRIVAT;PRIVAT;SI;DONA;NECESSITATS EDUCATIVES ESPECIALS;RETARD DEL DESENVOLUPAMENT SENSE ETIOLOGIA CLARA;2
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0125;LLEIDA;PRIVAT;PRIVAT;SI;DONA;NECESSITATS EDUCATIVES ESPECIALS;TRANSTORN GREU DE LA CONDUCTA;2
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0125;LLEIDA;PRIVAT;PRIVAT;SI;DONA;NECESSITATS EDUCATIVES ESPECIALS;TRASTORN MENTAL GREU;1
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0125;LLEIDA;PRIVAT;PRIVAT;SI;DONA;NECESSITATS EDUCATIVES ESPECIALS;TRASTORNS DE L'ESPECTRE AUTISTA;4
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0125;LLEIDA;PRIVAT;PRIVAT;SI;DONA;NECESSITATS EDUCATIVES ESPECIFIQUES;ALTES CAPACITATS;21
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0125;LLEIDA;PRIVAT;PRIVAT;SI;DONA;NECESSITATS EDUCATIVES ESPECIFIQUES;ALUMNAT NOUVINGUT;71
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0125;LLEIDA;PRIVAT;PRIVAT;SI;DONA;NECESSITATS EDUCATIVES ESPECIFIQUES;RETARD GREU DE L'APRENENTATGE;11
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0125;LLEIDA;PRIVAT;PRIVAT;SI;DONA;NECESSITATS EDUCATIVES ESPECIFIQUES;SITUACIONS SOCIOECONÒMIQUES I/O SOCIOCULTURALS DESAFAVORIDES;215
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0125;LLEIDA;PRIVAT;PRIVAT;SI;DONA;NECESSITATS EDUCATIVES ESPECIFIQUES;TRANSTORNS QUE CONDICIONEN L'APRENENTATGE;99
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0125;LLEIDA;PRIVAT;PRIVAT;SI;HOME;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT AUDITIVA MITJANA;1
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0125;LLEIDA;PRIVAT;PRIVAT;SI;HOME;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT AUDITIVA PROFUNDA;1
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0125;LLEIDA;PRIVAT;PRIVAT;SI;HOME;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT INTEL·LECTUAL LLEUGERA;29
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0125;LLEIDA;PRIVAT;PRIVAT;SI;HOME;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT INTEL·LECTUAL MODERADA;5
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0125;LLEIDA;PRIVAT;PRIVAT;SI;HOME;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT MOTRIU AUTÒNOM;1
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0125;LLEIDA;PRIVAT;PRIVAT;SI;HOME;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT MOTRIU SEMIAUTÒNOM;1
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0125;LLEIDA;PRIVAT;PRIVAT;SI;HOME;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT VISUAL;1
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0125;LLEIDA;PRIVAT;PRIVAT;SI;HOME;NECESSITATS EDUCATIVES ESPECIALS;RETARD DEL DESENVOLUPAMENT SENSE ETIOLOGIA CLARA;1
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0125;LLEIDA;PRIVAT;PRIVAT;SI;HOME;NECESSITATS EDUCATIVES ESPECIALS;TRANSTORN GREU DE LA CONDUCTA;20
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0125;LLEIDA;PRIVAT;PRIVAT;SI;HOME;NECESSITATS EDUCATIVES ESPECIALS;TRASTORNS DE L'ESPECTRE AUTISTA;21
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0125;LLEIDA;PRIVAT;PRIVAT;SI;HOME;NECESSITATS EDUCATIVES ESPECIFIQUES;ALTES CAPACITATS;32
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0125;LLEIDA;PRIVAT;PRIVAT;SI;HOME;NECESSITATS EDUCATIVES ESPECIFIQUES;ALUMNAT NOUVINGUT;117
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0125;LLEIDA;PRIVAT;PRIVAT;SI;HOME;NECESSITATS EDUCATIVES ESPECIFIQUES;RETARD GREU DE L'APRENENTATGE;26
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0125;LLEIDA;PRIVAT;PRIVAT;SI;HOME;NECESSITATS EDUCATIVES ESPECIFIQUES;SITUACIONS SOCIOECONÒMIQUES I/O SOCIOCULTURALS DESAFAVORIDES;238
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0125;LLEIDA;PRIVAT;PRIVAT;SI;HOME;NECESSITATS EDUCATIVES ESPECIFIQUES;TRANSTORNS QUE CONDICIONEN L'APRENENTATGE;174
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0125;LLEIDA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;DONA;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT AUDITIVA LLEUGERA;2
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0125;LLEIDA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;DONA;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT AUDITIVA MITJANA;5
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0125;LLEIDA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;DONA;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT AUDITIVA PROFUNDA;5
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0125;LLEIDA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;DONA;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT AUDITIVA SEVERA;2
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0125;LLEIDA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;DONA;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT INTEL·LECTUAL LLEUGERA;93
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0125;LLEIDA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;DONA;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT INTEL·LECTUAL MODERADA;12
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0125;LLEIDA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;DONA;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT INTEL·LECTUAL SEVERA;1
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0125;LLEIDA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;DONA;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT MOTRIU AUTÒNOM;3
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0125;LLEIDA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;DONA;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT MOTRIU DEPENENT;1
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0125;LLEIDA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;DONA;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT MOTRIU SEMIAUTÒNOM;2
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0125;LLEIDA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;DONA;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT VISUAL;5
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0125;LLEIDA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;DONA;NECESSITATS EDUCATIVES ESPECIALS;PLURIDISCAPACITAT;3
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0125;LLEIDA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;DONA;NECESSITATS EDUCATIVES ESPECIALS;TRANSTORN GREU DE LA CONDUCTA;6
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0125;LLEIDA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;DONA;NECESSITATS EDUCATIVES ESPECIALS;TRASTORN MENTAL GREU;3
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0125;LLEIDA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;DONA;NECESSITATS EDUCATIVES ESPECIALS;TRASTORNS DE L'ESPECTRE AUTISTA;12
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0125;LLEIDA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;DONA;NECESSITATS EDUCATIVES ESPECIFIQUES;ALTES CAPACITATS;32
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0125;LLEIDA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;DONA;NECESSITATS EDUCATIVES ESPECIFIQUES;ALUMNAT NOUVINGUT;224
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0125;LLEIDA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;DONA;NECESSITATS EDUCATIVES ESPECIFIQUES;RETARD GREU DE L'APRENENTATGE;103
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0125;LLEIDA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;DONA;NECESSITATS EDUCATIVES ESPECIFIQUES;SITUACIONS SOCIOECONÒMIQUES I/O SOCIOCULTURALS DESAFAVORIDES;417
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0125;LLEIDA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;DONA;NECESSITATS EDUCATIVES ESPECIFIQUES;TRANSTORNS QUE CONDICIONEN L'APRENENTATGE;478
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0125;LLEIDA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;HOME;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT AUDITIVA LLEUGERA;2
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0125;LLEIDA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;HOME;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT AUDITIVA MITJANA;3
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0125;LLEIDA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;HOME;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT AUDITIVA PROFUNDA;5
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0125;LLEIDA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;HOME;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT AUDITIVA SEVERA;2
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0125;LLEIDA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;HOME;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT INTEL·LECTUAL LLEUGERA;155
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0125;LLEIDA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;HOME;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT INTEL·LECTUAL MODERADA;14
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0125;LLEIDA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;HOME;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT INTEL·LECTUAL SEVERA;1
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0125;LLEIDA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;HOME;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT MOTRIU AUTÒNOM;4
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0125;LLEIDA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;HOME;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT MOTRIU DEPENENT;1
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0125;LLEIDA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;HOME;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT MOTRIU SEMIAUTÒNOM;1
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0125;LLEIDA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;HOME;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT VISUAL;4
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0125;LLEIDA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;HOME;NECESSITATS EDUCATIVES ESPECIALS;PLURIDISCAPACITAT;6
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0125;LLEIDA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;HOME;NECESSITATS EDUCATIVES ESPECIALS;TRANSTORN GREU DE LA CONDUCTA;49
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0125;LLEIDA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;HOME;NECESSITATS EDUCATIVES ESPECIALS;TRASTORN MENTAL GREU;2
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0125;LLEIDA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;HOME;NECESSITATS EDUCATIVES ESPECIALS;TRASTORNS DE L'ESPECTRE AUTISTA;80
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0125;LLEIDA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;HOME;NECESSITATS EDUCATIVES ESPECIFIQUES;ALTES CAPACITATS;76
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0125;LLEIDA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;HOME;NECESSITATS EDUCATIVES ESPECIFIQUES;ALUMNAT NOUVINGUT;319
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0125;LLEIDA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;HOME;NECESSITATS EDUCATIVES ESPECIFIQUES;RETARD GREU DE L'APRENENTATGE;149
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0125;LLEIDA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;HOME;NECESSITATS EDUCATIVES ESPECIFIQUES;SITUACIONS SOCIOECONÒMIQUES I/O SOCIOCULTURALS DESAFAVORIDES;480
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0125;LLEIDA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;HOME;NECESSITATS EDUCATIVES ESPECIFIQUES;TRANSTORNS QUE CONDICIONEN L'APRENENTATGE;770
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0143;TARRAGONA;PRIVAT;PRIVAT;NO;DONA;NECESSITATS EDUCATIVES ESPECIFIQUES;ALUMNAT NOUVINGUT;1
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0143;TARRAGONA;PRIVAT;PRIVAT;NO;DONA;NECESSITATS EDUCATIVES ESPECIFIQUES;TRANSTORNS QUE CONDICIONEN L'APRENENTATGE;2
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0143;TARRAGONA;PRIVAT;PRIVAT;NO;HOME;NECESSITATS EDUCATIVES ESPECIFIQUES;ALTES CAPACITATS;2
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0143;TARRAGONA;PRIVAT;PRIVAT;NO;HOME;NECESSITATS EDUCATIVES ESPECIFIQUES;TRANSTORNS QUE CONDICIONEN L'APRENENTATGE;1
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0143;TARRAGONA;PRIVAT;PRIVAT;SI;DONA;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT AUDITIVA LLEUGERA;1
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0143;TARRAGONA;PRIVAT;PRIVAT;SI;DONA;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT AUDITIVA MITJANA;2
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0143;TARRAGONA;PRIVAT;PRIVAT;SI;DONA;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT AUDITIVA PROFUNDA;1
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0143;TARRAGONA;PRIVAT;PRIVAT;SI;DONA;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT AUDITIVA SEVERA;1
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0143;TARRAGONA;PRIVAT;PRIVAT;SI;DONA;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT INTEL·LECTUAL LLEUGERA;19
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0143;TARRAGONA;PRIVAT;PRIVAT;SI;DONA;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT INTEL·LECTUAL MODERADA;3
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0143;TARRAGONA;PRIVAT;PRIVAT;SI;DONA;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT MOTRIU AUTÒNOM;1
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0143;TARRAGONA;PRIVAT;PRIVAT;SI;DONA;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT MOTRIU DEPENENT;1
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0143;TARRAGONA;PRIVAT;PRIVAT;SI;DONA;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT MOTRIU SEMIAUTÒNOM;2
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0143;TARRAGONA;PRIVAT;PRIVAT;SI;DONA;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT VISUAL;3
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0143;TARRAGONA;PRIVAT;PRIVAT;SI;DONA;NECESSITATS EDUCATIVES ESPECIALS;PLURIDISCAPACITAT;4
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0143;TARRAGONA;PRIVAT;PRIVAT;SI;DONA;NECESSITATS EDUCATIVES ESPECIALS;RETARD DEL DESENVOLUPAMENT SENSE ETIOLOGIA CLARA;8
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0143;TARRAGONA;PRIVAT;PRIVAT;SI;DONA;NECESSITATS EDUCATIVES ESPECIALS;TRANSTORN GREU DE LA CONDUCTA;3
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0143;TARRAGONA;PRIVAT;PRIVAT;SI;DONA;NECESSITATS EDUCATIVES ESPECIALS;TRASTORN MENTAL GREU;2
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0143;TARRAGONA;PRIVAT;PRIVAT;SI;DONA;NECESSITATS EDUCATIVES ESPECIALS;TRASTORNS DE L'ESPECTRE AUTISTA;13
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0143;TARRAGONA;PRIVAT;PRIVAT;SI;DONA;NECESSITATS EDUCATIVES ESPECIFIQUES;ALTES CAPACITATS;27
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0143;TARRAGONA;PRIVAT;PRIVAT;SI;DONA;NECESSITATS EDUCATIVES ESPECIFIQUES;ALUMNAT NOUVINGUT;75
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0143;TARRAGONA;PRIVAT;PRIVAT;SI;DONA;NECESSITATS EDUCATIVES ESPECIFIQUES;RETARD GREU DE L'APRENENTATGE;5
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0143;TARRAGONA;PRIVAT;PRIVAT;SI;DONA;NECESSITATS EDUCATIVES ESPECIFIQUES;SITUACIONS SOCIOECONÒMIQUES I/O SOCIOCULTURALS DESAFAVORIDES;194
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0143;TARRAGONA;PRIVAT;PRIVAT;SI;DONA;NECESSITATS EDUCATIVES ESPECIFIQUES;TRANSTORNS QUE CONDICIONEN L'APRENENTATGE;157
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0143;TARRAGONA;PRIVAT;PRIVAT;SI;HOME;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT AUDITIVA MITJANA;1
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0143;TARRAGONA;PRIVAT;PRIVAT;SI;HOME;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT AUDITIVA PROFUNDA;1
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0143;TARRAGONA;PRIVAT;PRIVAT;SI;HOME;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT INTEL·LECTUAL LLEUGERA;31
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0143;TARRAGONA;PRIVAT;PRIVAT;SI;HOME;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT INTEL·LECTUAL MODERADA;7
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0143;TARRAGONA;PRIVAT;PRIVAT;SI;HOME;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT MOTRIU AUTÒNOM;5
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0143;TARRAGONA;PRIVAT;PRIVAT;SI;HOME;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT MOTRIU SEMIAUTÒNOM;1
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0143;TARRAGONA;PRIVAT;PRIVAT;SI;HOME;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT VISUAL;5
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0143;TARRAGONA;PRIVAT;PRIVAT;SI;HOME;NECESSITATS EDUCATIVES ESPECIALS;PLURIDISCAPACITAT;2
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0143;TARRAGONA;PRIVAT;PRIVAT;SI;HOME;NECESSITATS EDUCATIVES ESPECIALS;RETARD DEL DESENVOLUPAMENT SENSE ETIOLOGIA CLARA;10
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0143;TARRAGONA;PRIVAT;PRIVAT;SI;HOME;NECESSITATS EDUCATIVES ESPECIALS;TRANSTORN GREU DE LA CONDUCTA;21
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0143;TARRAGONA;PRIVAT;PRIVAT;SI;HOME;NECESSITATS EDUCATIVES ESPECIALS;TRASTORN MENTAL GREU;2
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0143;TARRAGONA;PRIVAT;PRIVAT;SI;HOME;NECESSITATS EDUCATIVES ESPECIALS;TRASTORNS DE L'ESPECTRE AUTISTA;82
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0143;TARRAGONA;PRIVAT;PRIVAT;SI;HOME;NECESSITATS EDUCATIVES ESPECIFIQUES;ALTES CAPACITATS;41
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0143;TARRAGONA;PRIVAT;PRIVAT;SI;HOME;NECESSITATS EDUCATIVES ESPECIFIQUES;ALUMNAT NOUVINGUT;69
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0143;TARRAGONA;PRIVAT;PRIVAT;SI;HOME;NECESSITATS EDUCATIVES ESPECIFIQUES;RETARD GREU DE L'APRENENTATGE;2
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0143;TARRAGONA;PRIVAT;PRIVAT;SI;HOME;NECESSITATS EDUCATIVES ESPECIFIQUES;SITUACIONS SOCIOECONÒMIQUES I/O SOCIOCULTURALS DESAFAVORIDES;236
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0143;TARRAGONA;PRIVAT;PRIVAT;SI;HOME;NECESSITATS EDUCATIVES ESPECIFIQUES;TRANSTORNS QUE CONDICIONEN L'APRENENTATGE;273
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0143;TARRAGONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;DONA;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT AUDITIVA LLEUGERA;4
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0143;TARRAGONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;DONA;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT AUDITIVA MITJANA;14
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0143;TARRAGONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;DONA;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT AUDITIVA PROFUNDA;6
